"","lat","long","siteID","plotID","horizon","dnaSampleID","collectDate"
"171",46.237778,-89.541857,"UNDE","UNDE_010","M","UNDE_010-M-20180723-COMP-DNA1",2018-07-23
"172",45.492353,-89.567781,"TREE","TREE_002","O","TREE_002-O-20170707-COMP-DNA1",2017-07-07
"173",32.951498,-87.398914,"TALL","TALL_047","M","TALL_047-M-20170614-COMP-DNA1",2017-06-14
"174",32.922166,-87.428895,"TALL","TALL_002","M","TALL_002-M-20170612-COMP-DNA1",2017-06-12
"175",31.198433,-84.467178,"JERC","JERC_047","M","JERC_047-M-20160727-COMP-DNA1",2016-07-27
"176",40.17372,-112.456712,"ONAQ","ONAQ_043","M","ONAQ_043-M-20160727-COMP-DNA1",2016-07-27
"177",17.972768,-66.851235,"GUAN","GUAN_001","M","GUAN_001-M-20171108-COMP-DNA1",2017-11-08
"178",37.363106,-80.521589,"MLBS","MLBS_005","O","MLBS_005-O-20180611-COMP-DNA1",2018-06-11
"179",32.950156,-87.397294,"TALL","TALL_051","O","TALL_051-O-20160822-COMP-DNA1",2016-08-22
"180",46.237778,-89.541857,"UNDE","UNDE_010","O","UNDE_010-O-20180723-COMP-DNA1",2018-07-23
"181",31.196845,-84.468201,"JERC","JERC_050","M","JERC_050-M-20160727-COMP-DNA1",2016-07-27
"182",32.531982,-87.81434,"DELA","DELA_004","M","DELA_004-M-20160824-COMP-DNA1",2016-08-24
"183",32.893534,-87.415333,"TALL","TALL_003","M","TALL_003-M-20170612-COMP-DNA1",2017-06-12
"184",35.684589,-83.532102,"GRSM","GRSM_001","O","GRSM_001-O-20160719-COMP-DNA1",2016-07-19
"185",39.110903,-96.552209,"KONZ","KONZ_024","M","KONZ_024-M-20160711-COMP-DNA1",2016-07-11
"186",33.321251,-97.57765,"CLBJ","CLBJ_034","M","CLBJ_034-M-20170413-COMP-DNA1",2017-04-13
"187",40.186823,-105.54091,"RMNP","RMNP_004","O","RMNP_004-O-20170808-COMP-DNA1",2017-08-08
"188",35.964418,-84.285882,"ORNL","ORNL_046","O","ORNL_046-O-20160727-COMP-DNA1",2016-07-27
"189",40.054475,-105.567875,"NIWO","NIWO_008","M","NIWO_008-M-20160829-COMP-DNA1",2016-08-29
"190",40.043663,-105.569904,"NIWO","NIWO_005","M","NIWO_005-M-20180801-COMP-DNA1",2018-08-01
"191",39.215958,-96.594339,"KONA","KONA_001","M","KONA_001-M-20170807-COMP-DNA1",2017-08-07
"192",45.506757,-89.58706,"STEI","STEI_060","M","STEI_060-M-20170706-COMP-DNA1",2017-07-06
"193",68.627943,-149.347229,"TOOL","TOOL_002","M","TOOL_002-M-20170721-COMP-DNA1",2017-07-22
"194",68.666666,-149.369752,"TOOL","TOOL_041","M","TOOL_041-M-20170719-COMP-DNA1",2017-07-19
"195",40.853093,-104.728006,"CPER","CPER_005","M","CPER_005-M-20170710-COMP-DNA1",2017-07-10
"196",46.234625,-89.560771,"UNDE","UNDE_001","M","UNDE_001-M-20180723-COMP-DNA1",2018-07-23
"197",63.877756,-145.753497,"DEJU","DEJU_046","O","DEJU_046-O-20160817-COMP-DNA2",2016-08-17
"198",39.110568,-96.550145,"KONZ","KONZ_004","M","KONZ_004-M-20180716-COMP-DNA1",2018-07-16
"199",35.957646,-84.261838,"ORNL","ORNL_029","O","ORNL_029-O-20170621-COMP-DNA1",2017-06-21
"200",46.254613,-89.512657,"UNDE","UNDE_006","M","UNDE_006-M-20160725-COMP-DNA1",2016-07-25
"201",39.102192,-96.56118,"KONZ","KONZ_043","M","KONZ_043-M-20160714-COMP-DNA1",2016-07-14
"202",29.693584,-81.992056,"OSBS","OSBS_026","M","OSBS_026-M-20170711-COMP-DNA1",2017-07-11
"203",28.0967,-81.418579,"DSNY","DSNY_001","M","DSNY_001-M-20170829-COMP-DNA1",2017-08-29
"204",38.887763,-78.147164,"SCBI","SCBI_008","M","SCBI_008-M-20170718-COMP-DNA1",2017-07-18
"205",38.873795,-76.539828,"SERC","SERC_007","M","SERC_007-M-20170710-COMP-DNA1",2017-07-10
"206",37.101658,-119.734564,"SJER","SJER_047","M","SJER_047-M-20170315-COMP-DNA1",2017-03-15
"207",39.046329,-95.208663,"UKFS","UKFS_002","M","UKFS_002-M-20160719-COMP-DNA1",2016-07-19
"208",45.823595,-121.973495,"WREF","WREF_008","M","WREF_008-M-20180626-COMP-DNA1",2018-06-26
"209",31.824646,-88.177623,"LENO","LENO_001","M","LENO_001-M-20160829-COMP-DNA1",2016-08-29
"210",17.967743,-66.864301,"GUAN","GUAN_049","M","GUAN_049-M-20161004-COMP-DNA1",2016-10-04
"211",37.363106,-80.521589,"MLBS","MLBS_005","M","MLBS_005-M-20180611-COMP-DNA1",2018-06-11
"212",32.590028,-106.840435,"JORN","JORN_042","M","JORN_042-M-20170808-COMP-DNA1",2017-08-08
"213",35.686866,-83.513992,"GRSM","GRSM_007","M","GRSM_007-M-20170719-COMP-DNA1",2017-07-19
"214",17.972832,-66.857711,"GUAN","GUAN_007","M","GUAN_007-M-20180925-COMP-DNA1",2018-09-25
"215",33.414259,-97.597098,"CLBJ","CLBJ_038","O","CLBJ_038-O-20170413-COMP-DNA1",2017-04-13
"216",39.087456,-77.971942,"BLAN","BLAN_005","M","BLAN_005-M-20170713-COMP-DNA1",2017-07-13
"217",35.965252,-84.286859,"ORNL","ORNL_053","M","ORNL_053-M-20170621-COMP-DNA1",2017-06-21
"218",35.982199,-84.212753,"ORNL","ORNL_002","O","ORNL_002-O-20170619-COMP-DNA1",2017-06-19
"219",35.408887,-99.056266,"OAES","OAES_042","M","OAES_042-M-20180529-COMP-DNA1",2018-05-29
"220",31.194314,-84.477077,"JERC","JERC_001","M","JERC_001-M-20170725-COMP-DNA1",2017-07-25
"221",32.590562,-106.82446,"JORN","JORN_006","M","JORN_006-M-20170808-COMP-DNA1",2017-08-08
"222",35.593016,-83.474652,"GRSM","GRSM_016","O","GRSM_016-O-20160718-COMP-DNA1",2016-07-18
"223",39.119992,-96.546015,"KONZ","KONZ_002","M","KONZ_002-M-20160712-COMP-DNA1",2016-07-12
"224",45.82494,-90.072607,"STEI","STEI_003","M","STEI_003-M-20170705-COMP-DNA1",2017-07-05
"225",45.824274,-121.966341,"WREF","WREF_072","M","WREF_072-M-20180628-COMP-DNA1",2018-06-28
"226",42.539966,-72.178072,"HARV","HARV_035","O","HARV_035-O-20170801-COMP-DNA1",2017-08-01
"227",38.890803,-76.553986,"SERC","SERC_044","M","SERC_044-M-20170711-COMP-DNA1",2017-07-11
"228",32.950156,-87.397294,"TALL","TALL_051","M","TALL_051-M-20160822-COMP-DNA1",2016-08-22
"229",29.691969,-81.992063,"OSBS","OSBS_027","M","OSBS_027-M-20170711-COMP-DNA1",2017-07-11
"230",18.035349,-67.073331,"LAJA","LAJA_002","M","LAJA_002-M-20160912-COMP-DNA2",2016-09-12
"231",35.412139,-99.069792,"OAES","OAES_003","M","OAES_003-M-20170627-COMP-DNA1",2017-06-27
