"uid","domainID","siteID","pitNamedLocation","pitID","horizonID","horizonName","setDate","collectDate","archiveID","archiveLaboratoryName","archiveTopDepth","archiveBottomDepth","remarks","sampleMass","publicationDate","release"
"71633c53-7f1c-4eb2-9bb4-5780fb3f2eb2","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_AP","Ap",2013-02-04,2013-02-04,"3_DISNEY_PIT1_0-9_ARCHIVE_A","NEON",0,9,NA,1201.5,"20201217T021903Z","RELEASE-2021"
"850928e9-24d7-4e3b-b9e5-c97e338e90ea","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_B'H","B'h",2013-02-04,2013-02-04,"3_DISNEY_PIT1_152-200_ARCHIVE_B'H","NEON",152,200,NA,1201.5,"20201217T021903Z","RELEASE-2021"
"ddfa95e0-76fc-41ef-8c54-4500774dfbdd","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_AE","AE",2013-02-04,2013-02-04,"3_DISNEY_PIT1_9-26_ARCHIVE_AE","NEON",9,26,NA,1201.4,"20201217T021903Z","RELEASE-2021"
"e05b53e7-5e94-46b0-8c72-188936d94832","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_BH1","Bh1",2013-02-04,2013-02-04,"3_DISNEY_PIT1_43-55_ARCHIVE_BH1","NEON",43,55,NA,1200.8,"20201217T021903Z","RELEASE-2021"
"308b3931-e9c8-4350-b479-b75c71603f91","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_BH2","Bh2",2013-02-04,2013-02-04,"3_DISNEY_PIT1_55-69_ARCHIVE_BH2","NEON",55,69,NA,1201.9,"20201217T021903Z","RELEASE-2021"
"56aab711-2fcb-4090-8873-25cc12766818","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E","E",2013-02-04,2013-02-04,"3_DISNEY_PIT1_26-43_ARCHIVE_E","NEON",26,43,NA,1201,"20201217T021903Z","RELEASE-2021"
"112365dc-b73a-4dc6-9f1f-f1cf47fa4826","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'1","E'1",2013-02-04,2013-02-04,"3_DISNEY_PIT1_69-99_ARCHIVE_E'1","NEON",69,99,NA,1201.4,"20201217T021903Z","RELEASE-2021"
"75c84536-de90-4f0a-83ae-b9e72d3a7bb0","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'2","E'2",2013-02-04,2013-02-04,"3_DISNEY_PIT1_99-134_ARCHIVE_E'2","NEON",99,134,NA,1202,"20201217T021903Z","RELEASE-2021"
"4e9888ac-7143-45c1-9785-3643ad0daaec","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'3","E'3",2013-02-04,2013-02-04,"3_DISNEY_PIT1_134-152_ARCHIVE_E'3","NEON",134,152,NA,1201.1,"20201217T021903Z","RELEASE-2021"
"69bc0be3-d1e5-49c3-81fb-297b2c1747df","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_E","E",2012-12-10,2012-12-10,"3_JONES_PIT1_8-68_ARCHIVE_E","NEON",8,68,NA,1200.6,"20201216T225139Z","RELEASE-2021"
"ef729c5f-9ba6-4cdc-aa39-dc4bb6d4437a","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT3","Bt3",2012-12-10,2012-12-10,"3_JONES_PIT1_185-200_ARCHIVE_BT3","NEON",185,200,NA,1201.6,"20201216T225139Z","RELEASE-2021"
"ad831430-7bc1-4346-99d8-60854375d529","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT2","Bt2",2012-12-10,2012-12-10,"3_JONES_PIT1_105-185_ARCHIVE_BT2","NEON",105,185,NA,1201.3,"20201216T225139Z","RELEASE-2021"
