"uid","domainID","siteID","plotID","namedLocation","collectDate","samplingProtocolVersion","horizon","ovenStartDate","ovenEndDate","sampleID","sampleCode","cnSampleID","cnSampleCode","bgcArchiveID","bgcArchiveCode","bgcArchiveMass","toxicodendronPossible","sampleCondition","bgcRemarks","processedBy","bgcDataQF","publicationDate","release"
"daf9b3d3-90a4-427b-ab91-dbcfd6694ec2","D05","STEI","STEI_001","STEI_001.basePlot.bgc",2015-07-27 20:58:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_001-M-24-39-20150727",NA,"STEI_001-M-24-39-20150727-CN",NA,"STEI_001-M-24-39-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"8b21c172-63d6-48c8-b4b9-de847c62413b","D05","STEI","STEI_001","STEI_001.basePlot.bgc",2015-07-27 21:06:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_001-M-15-39-20150727",NA,"STEI_001-M-15-39-20150727-CN",NA,"STEI_001-M-15-39-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"3be5bdef-ed40-4b89-bdee-48f0ed6a0db2","D05","STEI","STEI_003","STEI_003.basePlot.bgc",2015-07-27 21:53:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_003-M-39-28.5-20150727",NA,"STEI_003-M-39-28.5-20150727-CN",NA,"STEI_003-M-39-28.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"34870ac2-6e48-49dd-af82-baafd4f99105","D05","STEI","STEI_003","STEI_003.basePlot.bgc",2015-07-27 22:04:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_003-M-7.5-39.5-20150727",NA,NA,NA,"STEI_003-M-7.5-39.5-20150727-BA",NA,NA,NA,"OK","not analyzed for CN, archive only",NA,"legacyData","20201217T053236Z","RELEASE-2021"
"1fcc388c-f661-4205-a864-4fe9da434dba","D05","STEI","STEI_003","STEI_003.basePlot.bgc",2015-07-27 22:12:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_003-M-5.5-13.5-20150727",NA,"STEI_003-M-5.5-13.5-20150727-CN",NA,"STEI_003-M-5.5-13.5-20150727-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"51ed169e-eae4-455a-a2d0-3269ed33eaa7","D05","STEI","STEI_047","STEI_047.basePlot.bgc",2015-07-28 14:18:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_047-M-3.5-3-20150728",NA,"STEI_047-M-3.5-3-20150728-CN",NA,"STEI_047-M-3.5-3-20150728-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"2fe480b6-9f4e-434a-9d58-30dfe60dc0be","D05","STEI","STEI_047","STEI_047.basePlot.bgc",2015-07-28 14:35:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_047-M-29.5-9.5-20150728",NA,"STEI_047-M-29.5-9.5-20150728-CN",NA,"STEI_047-M-29.5-9.5-20150728-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"952f1a91-d88d-4336-b77e-b14d1b534ef0","D05","STEI","STEI_047","STEI_047.basePlot.bgc",2015-07-28 14:49:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_047-M-37.5-26-20150728",NA,"STEI_047-M-37.5-26-20150728-CN",NA,"STEI_047-M-37.5-26-20150728-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
"351a0cc6-4650-4267-b039-024b856e3d76","D05","STEI","STEI_053","STEI_053.basePlot.bgc",2015-07-28 15:21:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_053-M-9-27-20150728",NA,NA,NA,"STEI_053-M-9-27-20150728-BA",NA,NA,NA,"OK","not analyzed for CN, archive only",NA,"legacyData","20201217T053236Z","RELEASE-2021"
"412307cf-4e7d-4df5-be89-0f05941b4b89","D05","STEI","STEI_053","STEI_053.basePlot.bgc",2015-07-28 15:36:00,"NEON.DOC.014048vF","M",NA,NA,"STEI_053-M-8-1.5-20150728",NA,"STEI_053-M-8-1.5-20150728-CN",NA,"STEI_053-M-8-1.5-20150728-BA",NA,NA,NA,"OK",NA,NA,"legacyData","20201217T053236Z","RELEASE-2021"
