,dnaSampleID,collectDate,long,lat,spi30d,spi90d,spi180d,spi270d,spi1y,spi2y,spi5y,spei30d,spei90d,spei180d,spei270d,spei1y,spei2y,spei5y,test
320,OAES_002-M-20170627-COMP-DNA1,2017-06-27,-99.052304,35.419716,-1.0099999904632568,0.800000011920929,0.4699999988079071,-0.23999999463558197,0.5400000214576721,-0.38999998569488525,-1.0099999904632568,-0.7099999785423279,0.6299999952316284,0.10000000149011612,-0.23999999463558197,0.029999999329447746,-0.5400000214576721,-1.0099999904632568,-99.052304
321,OSBS_001-O-20170711-COMP-DNA1,2017-07-12,-82.008881,29.702914,1.690000057220459,2.0899999141693115,1.2799999713897705,0.7099999785423279,0.4699999988079071,1.4500000476837158,2.0899999141693115,1.690000057220459,2.0899999141693115,1.0099999904632568,0.38999998569488525,0.029999999329447746,0.4699999988079071,2.0899999141693115,-82.008881
322,STEI_059-M-20160720-COMP-DNA1,2016-07-20,-89.588327,45.508883,0.5400000214576721,0.8999999761581421,0.8999999761581421,2.0899999141693115,0.8999999761581421,1.2799999713897705,0.800000011920929,0.38999998569488525,0.800000011920929,0.38999998569488525,2.0899999141693115,0.5400000214576721,1.0099999904632568,-0.3199999928474426,-89.588327
323,ORNL_043-O-20160727-COMP-DNA1,2016-07-27,-84.287233,35.963926,-1.2799999713897705,-0.5400000214576721,-0.46000000834465027,0.3199999928474426,-0.029999999329447746,0.029999999329447746,2.0899999141693115,-1.4500000476837158,-0.8999999761581421,-0.8999999761581421,-0.17000000178813934,-0.5400000214576721,-0.10000000149011612,-0.5400000214576721,-84.287233
324,ORNL_053-O-20160727-COMP-DNA1,2016-07-27,-84.286859,35.965252,-1.2799999713897705,-0.5400000214576721,-0.46000000834465027,0.3199999928474426,-0.029999999329447746,0.029999999329447746,2.0899999141693115,-1.4500000476837158,-0.8999999761581421,-0.8999999761581421,-0.17000000178813934,-0.5400000214576721,-0.10000000149011612,-0.5400000214576721,-84.286859
325,SERC_049-M-20170711-COMP-DNA1,2017-07-11,-76.561509,38.886494,0.029999999329447746,-0.23999999463558197,-0.6200000047683716,-1.4500000476837158,-0.8999999761581421,-1.2799999713897705,0.10000000149011612,-0.23999999463558197,-0.17000000178813934,-0.800000011920929,-1.2799999713897705,-1.1299999952316284,-1.690000057220459,-0.17000000178813934,-76.561509
326,TALL_047-O-20160822-COMP-DNA1,2016-08-22,-87.398914,32.951498,0.4699999988079071,0.6299999952316284,0.17000000178813934,0.029999999329447746,0.029999999329447746,0.029999999329447746,2.0899999141693115,0.38999998569488525,0.029999999329447746,0.10000000149011612,-0.23999999463558197,-0.10000000149011612,-0.38999998569488525,0.10000000149011612,-87.398914
327,WREF_072-O-20180628-COMP-DNA1,2018-06-28,-121.966341,45.824274,-2.0899999141693115,-1.1299999952316284,-0.46000000834465027,-0.17000000178813934,-0.10000000149011612,0.7099999785423279,2.0899999141693115,-1.4500000476837158,-1.1299999952316284,-0.6200000047683716,-0.38999998569488525,-0.3199999928474426,0.7099999785423279,-1.690000057220459,-121.966341
328,HARV_034-O-20170731-COMP-DNA1,2017-07-31,-72.177968,42.535686,-0.3199999928474426,0.4699999988079071,0.3199999928474426,0.029999999329447746,-0.17000000178813934,-1.2799999713897705,-1.2799999713897705,-0.10000000149011612,0.5400000214576721,0.23999999463558197,-0.029999999329447746,-0.46000000834465027,-2.0899999141693115,-2.0899999141693115,-72.177968
329,BONA_013-O-20180919-COMP-DNA1,2018-09-19,-147.559452,65.17688,,,,,,,,,,,,,,,-147.559452
330,GUAN_006-M-20180927-COMP-DNA1,2018-09-27,-66.875667,17.963818,,,,,,,,,,,,,,,-66.875667
331,SERC_002-M-20170712-COMP-DNA1,2017-07-12,-76.558917,38.895036,0.029999999329447746,-0.23999999463558197,-0.6200000047683716,-1.4500000476837158,-0.8999999761581421,-1.2799999713897705,0.10000000149011612,-0.23999999463558197,-0.17000000178813934,-0.800000011920929,-1.2799999713897705,-1.1299999952316284,-1.690000057220459,-0.17000000178813934,-76.558917
332,BLAN_004-M-20170713-COMP-DNA1,2017-07-13,-77.962567,39.087516,0.8999999761581421,1.2799999713897705,0.6299999952316284,0.029999999329447746,0.23999999463558197,0.4699999988079071,0.6299999952316284,0.5400000214576721,1.0099999904632568,0.3199999928474426,-0.38999998569488525,-0.3199999928474426,-0.10000000149011612,0.3199999928474426,-77.962567
333,SRER_004-M-20170815-COMP-DNA1,2017-08-15,-110.815262,31.906778,0.38999998569488525,0.6299999952316284,-0.3199999928474426,-0.10000000149011612,-0.6200000047683716,0.10000000149011612,-0.3199999928474426,1.1299999952316284,0.800000011920929,-0.38999998569488525,-0.23999999463558197,-0.46000000834465027,-0.10000000149011612,-0.3199999928474426,-110.815262
334,GRSM_003-O-20170718-COMP-DNA1,2017-07-18,-83.474563,35.67661,0.17000000178813934,0.4699999988079071,0.5400000214576721,-0.17000000178813934,-0.6200000047683716,-0.800000011920929,2.0899999141693115,0.3199999928474426,0.800000011920929,0.7099999785423279,-0.17000000178813934,-0.5400000214576721,-0.5400000214576721,1.4500000476837158,-83.474563
335,DELA_005-M-20160825-COMP-DNA1,2016-08-25,-87.814626,32.523355,0.3199999928474426,-0.8999999761581421,0.10000000149011612,0.029999999329447746,-0.23999999463558197,-0.800000011920929,2.0899999141693115,0.17000000178813934,-1.0099999904632568,-0.029999999329447746,-0.10000000149011612,-0.10000000149011612,-0.800000011920929,0.10000000149011612,-87.814626
336,SERC_001-M-20170710-COMP-DNA1,2017-07-10,-76.533585,38.868693,-0.029999999329447746,-0.23999999463558197,-0.6200000047683716,-1.4500000476837158,-0.800000011920929,-1.690000057220459,0.10000000149011612,-0.6200000047683716,-0.23999999463558197,-0.800000011920929,-1.4500000476837158,-1.0099999904632568,-1.690000057220459,-0.23999999463558197,-76.533585
337,OAES_044-M-20170627-COMP-DNA1,2017-06-27,-99.059225,35.404309,-1.0099999904632568,0.800000011920929,0.4699999988079071,-0.23999999463558197,0.5400000214576721,-0.38999998569488525,-1.0099999904632568,-0.7099999785423279,0.6299999952316284,0.10000000149011612,-0.23999999463558197,0.029999999329447746,-0.5400000214576721,-1.0099999904632568,-99.059225
