,ID,AGS,bp,Genomes,reads,GC,GC_bact,AA_CN
58,BMI_Plate61WellF10,7122758.316980001,4025452763,565.153636254,2000000,0.6120816533997133,0.6167773495763986,3.547466388772724
59,BMI_18S_05_0399,7216022.014160001,2132945010,295.584604068,2000000,0.6329590563260661,0.637672235816816,3.5386216131488166
60,BMI_Plate61WellB11,6335940.40024,1826228461,288.233213326,2000000,0.6193159514229833,0.6227821664994501,3.5549034463160587
61,Plate42WellD2,6976156.40943,4647428637,666.187562927,2000000,0.6138421581081297,0.6168278974265009,3.5428364951387685
62,BMI_Plate25WellH8,5805835.511469999,2604968618,448.681092128,2000000,0.6940561539364561,0.695452193920282,3.48596564921106
63,BMI_Plate72WellG2,6773458.16279,3458915821,510.657294674,2000000,0.6165732095716216,0.6213937193734057,3.54205419115911
64,BMI_Plate19WellA11_mms,5921725.9623300005,815089656,137.643933742,2000000,0.7170655663389212,0.7161857523881033,3.436406841360534
65,BMI_Plate19WellD9_mms,6888024.75405,1411160245,204.871540883,2000000,0.5940733616671316,0.5983887826062441,3.51202633359108
66,BMI_Plate41WellC11,7654049.45478,4421593417,577.680278018,2000000,0.6301381751227049,0.6380284762105123,3.5416208298439447
67,BMI_Plate68WellD4,6758469.742980001,4250434926,628.904927837,2000000,0.6094963540300339,0.6155046051329857,3.554887763761096
68,BMI_Plate88WellD11,6900421.23873,2173020024,314.911213217,2000000,0.6052114074840758,0.6090700998098679,3.5341462517737816
69,BMI_Plate35WellE3,5514140.68787,566077643,102.659267335,2000000,0.6468838566493719,0.6599832261154421,3.5064588766937628
70,BMI_Plate81WellA6,5506271.47668,3155170318,573.013940806,2000000,0.6769781544163592,0.6872701547495785,3.4827824312934865
71,BMI_Plate41WellB12,5810960.24487,4449181671,765.653434805,2000000,0.6633480701969686,0.669935788909258,3.4948067013334714
73,BMI_Plate41WellG6,6459132.88621,71836252,11.1216556875,381494,0.5330348805828076,0.5390079752080094,3.532420619454553
74,BMI_Plate41WellF3,7375253.194839999,1543880351,209.33252191,2000000,0.619209400143798,0.6231644421886959,3.5646888395599063
75,BMI_Plate72WellH2,6835878.32652,4698330121,687.30452717,2000000,0.6117268457879824,0.6266827395138777,3.526468470344581
76,BMI_Plate81WellH2,7900904.879139999,3940673016,498.762240058,2000000,0.563242730654298,0.6042578124851665,3.5833025415700446
77,BMI_18S_05_0423,7092776.2085,4301488902,606.460541761,2000000,0.6082842964296827,0.6102170803417392,3.5360700632392366
78,BMI_Plate61WellF5,6876099.3183699995,2693722008,391.75146886,2000000,0.6035257496777274,0.6115526128998343,3.5414034944221764
79,BMI_Plate71WellD1,7164341.03967,2203994682,307.633970772,2000000,0.6592571637411806,0.6607241770352551,3.499732176537103
80,BMI_Plate71WellH10,4929560.97002,3235659211,656.3787791,2000000,0.6176059832222459,0.6539019425393068,3.5121136107835262
81,Plate42WellE8,7355761.41644,4961045962,674.443566224,2000000,0.582068219502053,0.5901948903446856,3.579410270399608
82,BMI_Plate25WellH7,5783390.51547,2457154989,424.864097008,2000000,0.6937387409717163,0.6954041489503442,3.4871928503615757
83,BMI_Plate81WellF8,7414671.78335,3732487266,503.392108924,2000000,0.6159596448788867,0.6231286959996591,3.523900665378331
84,BMI_Plate81WellG5,6017468.34324,3304199740,549.101308312,2000000,0.680680655042106,0.6940552027595379,3.4642369539128537
86,BMI_Plate41WellH11,6317551.00077,5623494516,890.138364584,2000000,0.6415114126032042,0.6521527034218078,3.509067615297268
87,BMI_Plate42WellD2,6976156.40943,4647428637,666.187562927,2000000,0.6138422662896452,0.6168292516634363,3.542824984799472
88,BMI_Plate19WellB10_mms,7057389.10211,830733313,117.711139485,2000000,0.5396915803324235,0.5850178537187327,3.5453266586845955
89,BMI_Plate35WellE4,7873336.8804,552727515,70.2024469924,2000000,0.6499092447025285,0.6682811888925738,3.511193915332473
90,BMI_Plate25WellH10,5742478.22024,1536113140,267.50003763,2000000,0.6957481926021521,0.6983103352632052,3.4880073819510176
91,BMI_Plate69WellC12,7168543.175189999,2563693639,357.631052272,2000000,0.6420679922257729,0.6461638955124104,3.5261332005113912
92,BMI_Plate68WellE6,7592766.0976,3357737293,442.228464546,2000000,0.6199464026718242,0.6256317747165633,3.5318024615066235
93,BMI_Plate68WellD3,6094315.33441,3706929064,608.260134337,2000000,0.6748865906035358,0.6850265051859905,3.486869679077428
94,BMI_Plate61WellG8,7160546.66443,3813878801,532.623971288,2000000,0.6082891904728307,0.6134590892493056,3.5406262950228977
95,BMI_Plate69WellB11,7914471.86333,3975523528,502.31065277,2000000,0.613674425951624,0.6169683880891044,3.5227657821089298
