"","plotID","horizon","year","collectDate","mean_pH_CaCl","mean_pH_water","sd_pH_CaCl","sd_pH_water"
"5198","STER_026","M",2019,2019-07-16,6.51,7.60333333333333,0.840713982279348,0.905115093970559
"5199","STER_026","M",2019,2019-10-22,5.96666666666667,6.95,0.205993527406405,0.135277492584687
"5200","STER_026","M",2020,2020-06-16,6.03666666666667,6.63666666666667,0.193476958145753,0.168027775481714
"5201","STER_026","M",2020,2020-10-20,6.65333333333333,7.29333333333333,0.315647482697603,0.52624455658309
"5202","STER_027","M",2014,2014-07-23,6.57,7.25666666666667,0.439658958739612,0.300721354967241
"5203","STER_027","M",2016,2016-04-21,6.38,7.17,0.0435889894354066,0.0435889894354066
"5204","STER_027","M",2016,2016-08-17,6.74333333333333,7.04,0.338575447032612,0.287923600977759
"5205","STER_027","M",2016,2016-11-29,5.57333333333333,6.54666666666667,0.0493288286231624,0.11503622617825
"5206","STER_027","M",2017,2017-04-10,7.15333333333333,8.00666666666667,0.58731025304632,0.42442117446392
"5207","STER_027","M",2017,2017-06-05,6.36666666666667,7.35,0.179536440126603,0.0916515138991171
"5208","STER_027","M",2017,2017-10-23,6.54333333333333,7.25,0.189296944860009,0.0871779788708131
"5209","STER_027","M",2018,2018-04-23,6.28666666666667,7.14333333333333,0.245017006212494,0.241729876790879
"5210","STER_027","M",2018,2018-07-19,6.78666666666667,7.70333333333333,0.786913802988188,0.987437761751764
"5211","STER_027","M",2018,2018-10-23,6.54,7.31666666666667,0.293087017795057,0.184481254693623
"5212","STER_027","M",2019,2019-04-22,6.22,7.13,NA,NA
"5213","STER_027","M",2019,2019-04-23,7.15,8.01,0.0424264068711926,0.197989898732233
"5214","STER_027","M",2019,2019-07-16,7.02333333333333,8.04666666666667,0.435239397726508,0.700380848776816
"5215","STER_027","M",2019,2019-10-22,6.72333333333333,7.66,0.678552380685038,0.415090351610345
"5216","STER_027","M",2020,2020-10-21,6.63,7.09,0.49,0.452106182218293
"5217","STER_028","M",2014,2014-07-22,6.58,7.48,0.236431808350738,0.252388589282479
"5218","STER_028","M",2016,2016-04-20,7.49666666666667,8.37666666666667,0.101159939369957,0.113724814061547
"5219","STER_028","M",2016,2016-08-16,6.45,7.05666666666667,0.960832971957145,0.973259129591566
"5220","STER_028","M",2016,2016-11-30,7.33333333333333,8.07666666666667,0.735005668912379,0.560475988186232
"5221","STER_028","M",2017,2017-04-10,7.1,8.02666666666667,0.822860863086828,0.843109324662783
"5222","STER_028","M",2017,2017-06-05,6.29,7.20333333333333,0.294448637286709,0.127410099024109
"5223","STER_028","M",2017,2017-10-18,7.52666666666667,8.14,0.146401275039985,0.220680764907139
"5224","STER_028","M",2018,2018-04-24,6.58333333333333,7.42666666666667,0.945216024691358,0.750355471315651
"5225","STER_028","M",2018,2018-07-18,7.595,8.68,0.00707106781186532,0.127279220613578
"5226","STER_028","M",2018,2018-07-19,7.47,8.34,NA,NA
"5227","STER_028","M",2018,2018-10-17,7.24333333333333,7.99666666666667,0.670919766688487,0.586543547687069
"5228","STER_028","M",2019,2019-04-23,7.10666666666667,8.02,0.872314927840475,0.822860863086828
"5229","STER_028","M",2019,2019-07-15,7.24666666666667,8.04,0.623645198276499,0.532541078227773
"5230","STER_028","M",2019,2019-10-22,7.42333333333333,8.29666666666667,0.180092568789868,0.172433562085034
"5231","STER_028","M",2020,2020-10-21,7.20666666666667,7.70666666666667,0.70720105580615,0.575528742404177
"5232","STER_029","M",2014,2014-07-24,5.96,6.8,0.0346410161513778,0.0346410161513773
"5233","STER_029","M",2016,2016-04-20,6.20333333333333,7.28,0.183393929379719,0.105830052442584
"5234","STER_029","M",2016,2016-08-17,6.32,6.79666666666667,0.125299640861417,0.159478316185409
"5235","STER_029","M",2016,2016-11-28,5.72666666666667,6.16333333333333,0.260064094663861,0.670919766688487
"5236","STER_029","M",2017,2017-04-05,6.15333333333333,6.95333333333333,0.109696551146029,0.0802080627701065
"5237","STER_029","M",2017,2017-06-05,6.19666666666667,7.27666666666667,0.0981495457622363,0.0416333199893223
"5238","STER_029","M",2017,2017-10-23,6.28666666666667,7.11,0.251661147842358,0.167032930884901
"5239","STER_029","M",2018,2018-04-24,6.30666666666667,7.18666666666667,0.410528115155751,0.197568553503166
"5240","STER_029","M",2018,2018-07-19,5.86333333333333,6.71666666666667,0.254230866208911,0.386824680357049
"5241","STER_029","M",2018,2018-10-17,6.13666666666667,7,0.0404145188432738,0.04
"5242","STER_029","M",2019,2019-04-22,6.11,6.96,0.0500000000000003,0.06557438524302
"5243","STER_029","M",2019,2019-07-16,6.08333333333333,7.01333333333333,0.213853532431273,0.217332310836041
"5244","STER_029","M",2019,2019-10-22,6.05666666666667,6.97,0.100166528008778,0.0854400374531753
"5245","STER_029","M",2020,2020-10-21,5.97333333333333,6.58333333333333,0.0602771377334171,0.0763762615825974
"5246","STER_031","M",2014,2014-07-23,5.67666666666667,6.5,0.040414518843274,0.0608276253029824
"5247","STER_031","M",2016,2016-04-20,6.12333333333333,7.2,0.228108161479008,0.173493515728975
"5248","STER_031","M",2016,2016-08-17,5.88666666666667,6.51,0.253837218179946,0.13228756555323
"5249","STER_031","M",2016,2016-11-28,5.55333333333333,6.56333333333333,0.161658075373095,0.276465790529919
"5250","STER_031","M",2017,2017-04-05,6.07,6.98,0.167032930884901,0.115325625946708
"5251","STER_031","M",2017,2017-06-05,6.06,7.06666666666667,0.12,0.193476958145753
"5252","STER_031","M",2017,2017-10-23,5.94,6.89333333333333,0.12,0.0568624070307734
"5253","STER_031","M",2018,2018-04-24,6.13,7.12,0.173493515728975,0.0781024967590664
